SERIAL NO,COMMUNITY,SUB-CASTE
212,MBC/DNC,"Thottia Naickers (Sivaganga, Virudhunagar, Ramanathapuram, Kancheepuram, Tiruvallur, Thanjavur, Nagapattinam, Thiruvarur, Tiruchirapalli, Karur, Perambalur, Pudukkottai,Tirunelveli, Thoothukudi, Salem, Namakkal, Vellore, Thiruvannamalai, Coimbatore Erode & Districts)"
213,MBC/DNC,"Thogamalai Koravars or Kepmaris (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
214,MBC/DNC,"Uppukoravars or Settipalli Koravars (Thanjavur, Nagapattinam, Thiruvarur, Pudukkottai, Madurai, Theni, Dindigu, Vellore and Thiruvannamalai Districts)"
215,MBC/DNC,"Urali Gounders (Tiruchirapalli, Karur, Perambalur, Ariyalur and Pudukkottai Districts)"
216,MBC/DNC,Wayalpad or Nawalpeta Korachas
217,MBC/DNC,"Vaduvarpatti Koravars (Madurai, Theni, Dindigul, Ramanathapuram, Sivaganga, Virudhunagar, Tirunelveli, Thoothukudi, Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
218,MBC/DNC,"Valayars (Madurai, Theni, Dindigul, Tiruchirapalli, Karur, Perambalur, pudukkottai, Erode and Coimbatore Districts)"
219,MBC/DNC,"Vettaikarar (Thanjavur, Nagapattinam, Thiruvarur and Pudukkottai Districts)"
220,MBC/DNC,Vetta koravars (Salem and Namakkal Districts)
221,MBC/DNC,"Varaganeri Koravars (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
222,MBC/DNC,"Vettuva Gounder (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
223,BC,Agamudayar including Thozhu or Thuluva Vellala
224,BC,Agaram Vellan Chettiar
225,BC,"Alwar, Azhavar and Alavar (in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )"
226,BC,"Servai(except Tiruchirapalli, Karur, Perambalur and Pudukottai Districts )"
227,BC,Nulayar(in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
228,BC,Archakarai Vellala
229,BC,Aryavathi(in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
230,BC,Ayira Vaisyar
231,BC,Badagar
232,BC,Billava
233,BC,Bondil
234,BC,"Boyas (except Tiruchirapalli, Karur, Perambalur, Pudukottai, The Nilgiris, Salem ,Namakkal Dharmapuri and Krishnagiri Districts), Pedda Boyar (except Tiruchirapalli, Karur , Perambalur and Pudukottai Districts), Oddars (except Thanjavur, Nagapattinam, Districts), Kaloddars (except Kancheepuram, Tiruvallur, Ranathapuram, Sivaganga, Viruthunagar, Madurai, Theni, Dindigul, Purdukkottai, Tiruchirappalli, Karur, Perambalur, Tirunelveli, Thoothukudi, Salam and Namakkal Districts), Nellorepet oddars (except Vellore and Tiruvannamalai Districts) Sooramari oddars( except Salem and Namakkal Districts)Pudukottai, Madurai, Theni and Dindigul Tiruchirapalli, Karur, Perambalur,Tiruvarur,"
235,BC,"Chakkala (except Sivaganga, Virudhunagar, Ramanathapuram, Thanjavur, Nagapattinam,Tiruvarur, Pudukottai, Tiruchirapalli, Karur, Perambalur, Madurai, Theni, Dindigul and the Nilgiris Districts)"
236,BC,Chavalakarar (in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
237,BC,"Chettu or Chetty (including Kottar Chetty, Elur Chetty, Pathira Chetty, Valayal Chetty,Pudukadai Chetty ) ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)"
238,BC,Chowdry
239,BC,Converts to Christianity from Scheduled Castes irrespective of the generation of conversion for the purpose of reservation of seats in Educational Institutions and for seats in Public Services
240,BC,C S I formerly S I U C (in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
241,BC,"Donga Dasaris ( except Kancheepuram, Tiruvallur, Trichirapalli, Karur, Parambalur, Pudukottai, Chennai, Salem and Namakkal Districts"
242,BC,"Devangar, Sedar"
243,BC,"Dombs (except Pudukottai, Tiruchirapalli, Karur and Perambalur Districts)"
244,BC,"Dommars (except Thanjavur, Nagapattinam,Tiruvarur, Pudukottai,Vellore and Thiruvannamalai Districts)"
245,BC,Enadi
246,BC,Ezhavathy(in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
247,BC,Ezhuthachar (in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
248,BC,Ezhuva(in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
249,BC,Gangavar
250,BC,"Gavara, Gavarai and Vadugar (Vaduvar) (other than Kamma, Kapu, Balija and Reddi)"
251,BC,Gounder
252,BC,"Gowda (including Gammala, Kalali and Anuppa Gounder)"
253,BC,Hegde
254,BC,Idiga
255,BC,"IllathuPillaimar, Illuvar, Ezhuvar and Illathar"
256,BC,Jhetty
257,BC,"Jogis (Except Kancheepuram, Tiruvallur, Madurai, Theni, Dindigul, Cuddalore, Villupuram, Vellore and Tiruvannamalai Districts)"
258,BC,Kabbera
259,BC,"Kaikolar, Sengunthar"
260,BC,"Kaladi (except Sivaganga, Virudhunagar, Ramanathapuram, Madurai, Theni, Dindigul,Thanjavur, Nagapattinam,Tiruvarur, Pudukottai, Tiruchirapalli, Karur and Perambalur Districts)"
261,BC,Kalari Kurup including Kalari Panicker (in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
262,BC,Kalingi
263,BC,"Kallar, Easanattu Kallar, Gandharva Kottai Kallars(except Thanjavur, Nagapattinam, Tiruvarur and Pudukottai Districts), Kootappal Kallars-(except Pudukottai, Tiruchirapalli, Karur and Perambalur Districts), Piramalai Kallars- (except Sivaganga,Virudhunagar, Ramanathapuram Madurai Theni, Dindigul, Nagapattinam and Tiruvarur Districts) Pudukottai, Thanjavur, Periyasooriyur Kallars- (except Tiruchirapalli, Karur, Perambalur and Pudukottai Districts)"
264,BC,Kallar Kula Thondaman
265,BC,Kalveli Gounder
266,BC,Kambar
267,BC,"Kammalar or Viswakarma , Viswakarmala (including Thattar, Porkollar, Kannar, Karumar, Kollar, Thacher, Kal Thacher, Kamsala and Viswa brahmin )"
268,BC,"Kani, Kanisu, Kaniyar Panicker"
269,BC,Kaniyala Vellalar
270,BC,"Kannada Saineegar ,Kannadiyar (Throughout the State) and Dasapalanjika (Coimbatore, Erode and the Nilgiris Districts)"
271,BC,Kannadiya Naidu
272,BC,Karpoora Chettiar
273,BC,"Karuneegar (Seer Karuneegar, Sri Karuneegar, Sarattu Karuneegar, Kaikatti Karuneegar, Mathuvazhi Kanakkar, Sozhi Kanakkar, and Sunnambu Karuneegar)"
274,BC,Kasukkara Chettiar
275,BC,"Katesar, Pattamkatti"
276,BC,Kavuthiyar
277,BC,Kerala Mudali
278,BC,Kharvi
279,BC,Khatri
280,BC,Kongu Vaishnava
281,BC,"Kongu Vellalars( including Vellala Gounder, Nattu Gounder, Narambukkatti Gounder, Tirumudi Vellalar, Thondu Vellalar, Pala Gounder, Poosari Gounder, Anuppa Vellala Gounder, Padaithalai Gounder, Chendalai Gounder, Pavalankatti Vellala Gounder,Palavellala Gounder, Sanku Vellala Gounder and Rathinagiri Gounder)"
282,BC,KoppalaVelama
283,BC,Koteyar
