SERIAL NO,COMMUNITY,SUB-CASTE
142,MBC/DNC,"Sathatha Srivaishnava (including Sathani, Chattadi and Chattada Srivaishnava)"
143,MBC/DNC,Sozhia Chetty
144,MBC/DNC,Telugupatty Chetty
145,MBC/DNC,"Thotti Naicker (including Rajakambalam, Gollavar, Sillavar, Thockalavar, Thozhuva Naicker and Erragollar)"
146,MBC/DNC,Thondaman
147,MBC/DNC,Thoraiyar(Nilgiris)
148,MBC/DNC,Thoraiyar(Plains)
149,MBC/DNC,Transgender or Eunuch (Thirunangai or Aravani)
150,MBC/DNC,Valaiyar(including Chettinad Valayars)
151,MBC/DNC,"Vannar (Salaivai Thozhilalar) (including Agasa, Madivala, Ekali, Rajakula, Veluthadar & Rajaka) (except in Kanyakumari District and Shenkottah Taluk of Titunelveli District where the Community is a Scheduled Caste)"
152,MBC/DNC,Vettaikarar
153,MBC/DNC,Vettuva Gounder
154,MBC/DNC,Yogeeswarar
155,MBC/DNC,"Attur Kilnad Koravars (Salem, Namakkal, Cuddalore, Villupuram, Ramanathapuram, Sivaganga and Virudhunagar Districts)"
156,MBC/DNC,Attur Melnad Koravars (Salem and Namakkal District)
157,MBC/DNC,"Appanad Kondayam Kottai Maravar (Sivaganga, Virudhunagar, Ramanathapuram, Madurai, Theni and Dindigul Districts)"
158,MBC/DNC,"Ambalakarar (Thanjavur, Nagapattinam, Tiruvarur, Tiruchirappalli, Karur, Perambalur and Pudukkottai Districts)"
159,MBC/DNC,"Ambalakkarar (Suriyanur, Tiruchirapalli District)"
160,MBC/DNC,"Boyas (Tiruchirapalli, Karur, Perambalur, Pudukkottai, The Nilgiris, Salem, Namakkal, Dharmapuri and Krishnagiri Districts)"
161,MBC/DNC,Battu Turkas
162,MBC/DNC,C K Koravars (Cuddalore and Villupuram Districts)
163,MBC/DNC,"Chakkala(Sivaganga, Virudhunagar, Ramanathapuram, Thanjavur, Nagapattinam,Thiruvarur, Pudukkottai, Tiruchirapalli, Karur, Perambalur, Madurai, Theni, Dindigul and the Nilgiris Districts)"
164,MBC/DNC,Changyampudi Koravars (vellore and Thiruvannamalai Districts)
165,MBC/DNC,"Chettinad Valayars (Sivaganga,Virudhunagar and Ramanathapuram Districts)"
166,MBC/DNC,"Dombs (Pudukkottai, Tiruchirapalli, Karur and Perambalur Districts)"
167,MBC/DNC,Dobba Koravars (Salem and Namakkal Districts)
168,MBC/DNC,"Dommars (Thanjavur, Nagapattinam, Thiruvarur, Pudukkottai, Vellore and Thiruvannamalai Districts)"
169,MBC/DNC,Donga Boya
170,MBC/DNC,Donga Ur Korachas
171,MBC/DNC,Devagudi Talayaris
172,MBC/DNC,"Dobbai Korachas (Tiruchirapalli, Karur Perambalur and Pudukkottai Districts)"
173,MBC/DNC,"Dabi Koravars (Thanjavur, Nagapattinam, Thiruvarur, Tiruchirapalli, Karur, Perambalur, Pudukkottai, Vellore and Thiruvannamalai Districts)"
174,MBC/DNC,"Donga Dasaris (Kancheepuram, Tiruvallur, Tiruchirapalli, Karur, Perambalur, Pudukkottai, Chennai, Salem and Namakkal Districts)"
175,MBC/DNC,Gorrela Dodda Boya
176,MBC/DNC,Gudu Dasaris
177,MBC/DNC,"Gandarvakottai Koravars (Thanjavur, Nagapattinam, Thiruvarur, Tiruchirapalli, Karur, Perambalur, Pudukkottai, Cuddalore and Villupuram Districts)"
178,MBC/DNC,"Gandarvakottai Kallars (Thanjavur, Nagapattinam, Thiruvarur and Pudukkotttai Districts)"
179,MBC/DNC,"Inji Koravars (Thanjavur, Nagapattinam, Thiruvarur, Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
180,MBC/DNC,"Jogis (Kancheepuram, Tiruvallur, Chennai, Cuddalore, Villupuram, Vellore and Thiruvannamalai Districts)"
181,MBC/DNC,Jambavanodai
182,MBC/DNC,"Kaladis (Sivaganga, Virudhunagar, Ramanathapuram, Madurai, Theni, Dindigul, Thanjavur, Nagapattinam, Thiruvarur, Pudukkottai, Tiruchirapalli, Karur and Perambalur Districts)"
183,MBC/DNC,"Kal Oddars (Kancheepuram, Thiruvallur, Ramanathapuram, Sivaganga, Virudhunagar, Madurai, Theni Dindigul, Pudukkottai, Thanjavur, Nagapattinam, Tiruvarur, Tiruchirapalli, Karur, Perambalur, Tirunelveli, Thoothukudi, Salem and Namakkal Districts)"
184,MBC/DNC,"Koravars (Kancheepuram Tiruvallur, Ramanathapuram, Sivaganga, Virudhunagar, Pudukkottai, Thanjavur, Nagapattinam, Thiruvarur,Tiruchirapalli, Karur, Perambalur, Tirunelveli, Thoothukudi, Chennai, Madurai, Theni, Dindigul and The Nilgiris Districts)"
185,MBC/DNC,"Kalinji Dabikoravars (Thanjavur, Nagapattinam, Tiruvarur and Pudukkottai Districts)"
186,MBC/DNC,"Kootappal Kalllars (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
187,MBC/DNC,"Kala Koravars (Thanjavur, Nagapattinam, Thiruvarur, Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
188,MBC/DNC,Kalavathila Boyas
189,MBC/DNC,"Kepmaris (Kancheepuram, Tiruvallur, Pudukkottai, Tiruchirapalli, Karur and Perambalur Districts)"
190,MBC/DNC,"Maravars (Thanjavur, Nagapattinam, Thiruvarur, Pudukkottai, Ramanathapuram, Sivaganga, Virudhunagar, Tirunelveli and Thoothukudi Districts)"
191,MBC/DNC,Monda Koravars
192,MBC/DNC,Monda Golla (Salem and Namakkal Districts)
193,MBC/DNC,"Mutlakampatti (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
194,MBC/DNC,"Nokkars (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
195,MBC/DNC,Nellorepet Oddars ( Vellore and Thiruvannamalai Districts)
196,MBC/DNC,"Oddars (Thanjavur Nagapattinam Thiruvarur Tiruchirapalli, Karur, Perambalur, Pudukkottai, Madurai, Theni and Dindigul Districts)"
197,MBC/DNC,"Pedda Boyas (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
198,MBC/DNC,Ponnai Koravars (Vellore and Thiruvannamalai Districts)
199,MBC/DNC,"Piramalai Kallars (Sivagangai, Virudhunagar, Ramanathapuram, Madurai, Theni, Dindigul, Pudukkottai, Thanjavur, Nagapattinam and Thiruvarur Districts)"
200,MBC/DNC,"Peria Suriyur Kallars(Tiruchirapalli, Karur, Perambalur, and Pudukkottai Districts)"
201,MBC/DNC,Padayachi (Vellayan Kuppam in Cuddalore District and Tennore in Tiruchirapalli District)
202,MBC/DNC,"Punnan Vettuva Gounder(Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
203,MBC/DNC,"Servai (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
204,MBC/DNC,"Salem Melnad Koravars (Madurai, Theni, Dindigul, Coimbatore, Erode, Pudukkottai, Tiruchirapalli, Karur, Perambalur, Salem, Namakkal, Vellore and Thiruvannamalai Districts)"
205,MBC/DNC,Salem Uppu Koravars (Salem & Namakkal Districts)
206,MBC/DNC,Sakkaraithamadai Koravars (Vellore and Thiruvannamalai Districts)
207,MBC/DNC,Saranga Palli Koravars
208,MBC/DNC,Sooramari Oddars (Salem and Namakkal Districts)
209,MBC/DNC,"Sembanad Maravars (Sivaganga, Virudhunagar and Ramanathapuram Districts)"
210,MBC/DNC,Thalli Koravars (Salem and Namakkal Districts)
211,MBC/DNC,"Telungapatti Chetis (Tiruchirapalli, Karur, Perambalur and Pudukkottai Districts)"
